,state,year,sex,age_group,percent_on_BP_meds_among_high_BP_group,percent_on_chol_meds_among_high_chol_group,percent_high_BP,percent_high_chol,sbp_average,ldl_average,sbp_rr,ldl_rr,both_rr
350,Utah,2021,female,55-59,0.786318463478171,0.469146101165567,0.328056444099838,0.406258775944798,0.8432296016217081,0.5709180252242309,0.9325081353476147,0.8217398653358466,0.8771240003417307
351,Vermont,2021,female,55-59,0.816535404385612,0.471770003134113,0.296893160453196,0.310197806048847,0.8432296016217081,0.5709180252242309,0.9683429078097382,0.8263358000455897,0.897339353927664
352,Virginia,2021,female,55-59,0.841303664956959,0.614774519214597,0.442198140651381,0.417868481676042,0.8432296016217081,0.5709180252242309,0.9977159996980121,1.0768174975262714,1.0372667486121419
353,Washington,2021,female,55-59,0.789085391923208,0.420329562109071,0.316728121361903,0.382554774208624,0.8432296016217081,0.5709180252242309,0.9357894817800877,0.7362345267413558,0.8360120042607218
354,West Virginia,2021,female,55-59,0.858524713708342,0.667941377238119,0.518152546547055,0.477172876644445,0.8432296016217081,0.5709180252242309,1.0181387276457303,1.169942702327154,1.0940407149864422
355,Wisconsin,2021,female,55-59,0.853405480120313,0.570246146007912,0.380200495523403,0.403700388521245,0.8432296016217081,0.5709180252242309,1.0120677434461913,0.9988231599167762,1.0054454516814837
356,Wyoming,2021,female,55-59,0.725222658119043,0.440409636642434,0.297902878457599,0.342216384567416,0.8432296016217081,0.5709180252242309,0.8600536042903226,0.7714060814062771,0.8157298428482999
357,Alabama,2021,female,60-64,0.937659652556815,0.806511151627158,0.606166331012314,0.558382639593663,0.8784105811103281,0.6426350163901295,1.0674503161967779,1.2550065450176822,1.16122843060723
358,Alaska,2021,female,60-64,0.803480547017728,0.579098541094061,0.453093072987,0.44008993856942,0.8784105811103281,0.6426350163901295,0.9146981654092928,0.9011313207721364,0.9079147430907146
359,Arizona,2021,female,60-64,0.846280672099471,0.623804373287537,0.404154509129912,0.471985176110596,0.8784105811103281,0.6426350163901295,0.9634226753390831,0.9706977637036186,0.9670602195213509
360,Arkansas,2021,female,60-64,0.921358210879005,0.67668528985646,0.564239938019255,0.513894412513322,0.8784105811103281,0.6426350163901295,1.0488924321863136,1.0529854001072039,1.0509389161467588
361,California,2021,female,60-64,0.853188909944701,0.533997198736994,0.410174771879219,0.487064152211769,0.8784105811103281,0.6426350163901295,0.9712871501004161,0.8309494271516884,0.9011182886260523
362,Colorado,2021,female,60-64,0.854700303802419,0.571108664852952,0.390396719009164,0.428134776198098,0.8784105811103281,0.6426350163901295,0.9730077507969692,0.8886983284244886,0.9308530396107288
363,Connecticut,2021,female,60-64,0.901702300887713,0.694550422368879,0.426082051564248,0.449930609465084,0.8784105811103281,0.6426350163901295,1.026515755021921,1.0807852119082673,1.0536504834650942
364,Delaware,2021,female,60-64,0.909225593631909,0.656421218631483,0.484405026423234,0.473562677969748,0.8784105811103281,0.6426350163901295,1.0350804204596786,1.0214526160102426,1.0282665182349606
365,District of Columbia,2021,female,60-64,0.900795673707326,0.581348914591725,0.540937774969397,0.474740437506978,0.8784105811103281,0.6426350163901295,1.025483632686554,0.9046331117425461,0.96505837221455
366,Florida,2019,female,60-64,0.8796121371027,0.618073787641221,0.435114233455731,0.448571099885791,0.8784105811103281,0.6426350163901295,1.001367875135171,0.9617804381608768,0.9815741566480238
367,Georgia,2021,female,60-64,0.924377629836253,0.637531701321902,0.533608314971144,0.474858286463375,0.8784105811103281,0.6426350163901295,1.0523297985183895,0.992058765958795,1.0221942822385923
368,Hawaii,2021,female,60-64,0.898756215688051,0.592648701267443,0.414561318189497,0.450445488435585,0.8784105811103281,0.6426350163901295,1.023161873291651,0.9222166333178132,0.9726892533047321
369,Idaho,2021,female,60-64,0.843453500656149,0.584851335933,0.43642690716403,0.44585861467197,0.8784105811103281,0.6426350163901295,0.9602041673837846,0.9100832058892191,0.9351436866365018
370,Illinois,2021,female,60-64,0.881454044061497,0.746169485763117,0.409757613369924,0.412227963849302,0.8784105811103281,0.6426350163901295,1.0034647384908797,1.161109287126262,1.0822870128085709
371,Indiana,2021,female,60-64,0.914540551252053,0.688660892951124,0.501693992615688,0.472993396339952,0.8784105811103281,0.6426350163901295,1.0411310734623165,1.0716205550384343,1.0563758142503754
372,Iowa,2021,female,60-64,0.877959859701385,0.670774044361178,0.418626031187133,0.455354137506144,0.8784105811103281,0.6426350163901295,0.9994868898227827,1.0437869509960938,1.0216369204094382
373,Kansas,2021,female,60-64,0.886657428544471,0.680418512431686,0.46674791958122,0.505083690369199,0.8784105811103281,0.6426350163901295,1.0093883744247694,1.0587946424920907,1.0340915084584301
